transaction_id,mls_listing_number,property_address_full,listing_office_name,listing_office_address,listing_office_phone,property_type,status_current,transaction_type,list_price,bed_bath_info,square_feet,property_features_list,listing_date,days_on_market,listing_agent_name,listing_agent_email,listing_agent_phone,listing_agent_commission_rate,selling_agent_name,selling_agent_email,selling_agent_phone,offer_date,offer_amount,final_price,accepted_date,closing_date,commission_total,commission_split_info,payout_status,lease_terms,monthly_rent,security_deposit,lease_start_end,marketing_spend,lead_source,campaign_type,documents_required,inspection_date,appraisal_amount,client_buyer_info,client_seller_info,client_contact_details,appointment_history,showing_dates,appointment_outcomes,notes_agent,notes_transaction,special_conditions
TXN-2025-011,MLS8208952,687 River Rd Jersey City NJ 07276,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,TH,RENTED,rental,3777,2BR/3BA,1348,"elevator, views",11/10/2024,46,Jennifer Martin,jmartin@dreamhomesnyc.com,(201) 555-0177,10,,,,,,3777,,,4532,Listing agent only 4532,Pending,6-month lease parking included,3777,3777,8/23/25 - 2/23/26,11542,Website,Community Event,"Employment verification, Bank statements, References",,,William Moore | Attorney | Budget 3399-4154 monthly | Looking for 6-month lease,Christopher Miller | Corporate Owner | Upgrading to larger home | Owned 7 years,William Moore: wmoore@outlook.com | (811) 555-4374,2024/11/15 - Initial showing - With advisor - Ready to offer | 11/24/2024 - Second visit - With advisor - Loved the space | November 27 2024 - Third viewing - With spouse - Loved the space | Dec 15 2024 - Final walkthrough - With spouse - Had concerns,2024/11/15 | 11/29/24 | 2024/12/8 | Dec 14 2024 | Dec 9 2024,Interested | Very interested | Not interested,Family excited about the neighborhood,Corporate relocation timeline tight,Cash purchase no contingencies
TXN-2025-012,MLS8908181,301 Greenwich Ave Fairfield CT 06822,Dream Homes CT,1200 Post Rd Fairfield CT 06824,(203) 555-0500,TH,PENDING,sale,358701,4BR/2.5BA,1565,"concierge, parking, views, elevator",Nov 18 2024,15,William Rodriguez,wrodriguez@dreamhomesnyc.com,(203) 555-0164,3,Christopher Brown,cbrown@premiernyc.com,(203) 555-9160,11/28/2024,338095,,2024/11/30,,,,,,,,,9024,Social Media,Email Campaign,"Contract, Survey, Title Report, Disclosure, Appraisal",Dec 25 2024,372604,Jennifer White | Professor | Budget 0.3M-0.4M | Downsizing,Matthew Williams | Corporate Owner | Upgrading to larger home | Owned 3 years,Jennifer White: jwhite@hotmail.com | (340) 555-4979,Nov 24 2024 - Initial showing - With advisor - Loved the space | 11/28/2024 - Second visit - Buyer alone - Very interested | 2024/12/16 - Third viewing - Buyer alone - Ready to offer | December 17 2024 - Final walkthrough - With spouse - Had concerns,11/19/24 | 11/28/24 | 2024/12/14 | 12/17/24 | 12/20/2024,Interested | Very interested | Not interested,Smooth transaction expected,Seller flexible on closing date,Subject to board approval
TXN-2025-013,MLS8750840,416 West End Ave Unit 27B New York NY 10001,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,Co-op,PENDING,sale,3098576,Studio/1BA,633,"laundry, doorman",2024/11/28,52,David Chen,dchen@dreamhomesnyc.com,(212) 555-0102,3,,,,12/22/24,2874360,,12/28/24,,,,,,,,,1321,Direct Marketing,Print Advertising,"Co-op board package, Survey, Contract, Financial statements, Title Report",January 2 2025,3112056,Anthony Jackson | Real Estate Investor | Budget 2.6M-3.6M | First NYC purchase,Jennifer Thomas | Corporate Owner | Relocating for work | Owned 15 years,Anthony Jackson: ajackson@outlook.com | (217) 555-4477,December 4 2024 - Initial showing - With spouse - Had concerns | Dec 13 2024 - Second visit - With advisor - Loved the space,Dec 6 2024 | December 7 2024 | 12/17/24,Interested | Very interested | Not interested,Great chemistry between buyer and seller,Board approval process initiated,Flexible closing date negotiated
TXN-2025-014,MLS8399416,288 Atlantic Ave Brooklyn NY 11201,Dream Homes Brooklyn,345 Court St Brooklyn NY 11231,(718) 555-0400,TH,PENDING,sale,548528,2BR/2BA,1233,"terrace, garden",11/18/2024,90,Robert Thomas,rthomas@dreamhomesnyc.com,(718) 555-0191,3,,,,12/29/2024,520287,,January 5 2025,,,,,,,,,14627,Open House,Community Event,"Survey, Title Report, Appraisal, Contract, Inspection",12/27/24,563467,Michael Williams | Professor | Budget 0.5M-0.6M | Growing family,Mark Davis | Homeowner | Portfolio adjustment | Owned 8 years,Michael Williams: mwilliams@gmail.com | (618) 555-7585,November 27 2024 - Initial showing - With spouse - Very interested | 11/29/2024 - Second visit - With advisor - Ready to offer,2024/11/23 | December 5 2024 | 12/13/24,Interested | Very interested | Not interested,Buyers are pre-approved and motivated,Seller found replacement property,As-is purchase agreed
TXN-2025-015,MLS8587052,520 Monroe St Edgewater NJ 07282,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,SFH,PENDING,sale,640999,2BR/2.5BA,2025,"views, parking",Nov 9 2024,73,William Martin,wmartin@dreamhomesnyc.com,(201) 555-0142,3,Matthew Rodriguez,mrodriguez@premiernyc.com,(201) 555-7905,2025/1/2,601904,,January 4 2025,,,,,,,,,13412,Walk-in,Social Media Campaign,"Appraisal, Survey, Disclosure",12/17/24,636976,Maria Anderson | Artist | Budget 0.5M-0.7M | Upgrading from rental,Nancy Martin | Corporate Owner | Relocating for work | Owned 8 years,Maria Anderson: manderson@hotmail.com | (276) 555-2323,11/17/24 - Initial showing - With family - Very interested | 11/25/2024 - Second visit - With advisor - Loved the space | 2024/11/25 - Third viewing - With spouse - Very interested | 12/8/2024 - Final walkthrough - With spouse - Had concerns,Nov 10 2024 | 11/22/24 | 2024/11/24,Interested | Very interested | Not interested,Buyers are pre-approved and motivated,Quick close needed for relocation,Flexible closing date negotiated
TXN-2025-016,MLS8553789,446 Park Ave Unit 16A New York NY 10070,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,TH,PENDING,sale,2036909,3BR/3BA,716,"elevator, concierge, renovated",11/22/24,69,Karen Wilson,kwilson@dreamhomesnyc.com,(212) 555-0163,2.5,,,,December 31 2024,1970516,,2001/7/25,,,,,,,,,11196,Walk-in,Email Campaign,"Disclosure, Appraisal, Inspection",12/16/24,2032044,Helen Kim | Finance Professional | Budget 1.7M-2.3M | First NYC purchase,Robert Thomas | Estate | Estate liquidation | Owned 3 years,Helen Kim: hkim@gmail.com | (550) 555-3054,2024/12/2 - Initial showing - With spouse - Very interested | 2024/12/11 - Second visit - With family - Very interested | 12/13/2024 - Third viewing - Buyer alone - Loved the space,11/30/2024 | 2024/12/6 | December 16 2024 | 12/27/24,Interested | Very interested | Not interested,Great chemistry between buyer and seller,Estate sale proceeding smoothly,Flexible closing date negotiated
TXN-2025-017,MLS8297489,949 West End Ave Unit 10D New York NY 10110,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,Condo,ACTIVE,sale,573087,4BR/2.5BA,1800,"concierge, parking",2024/11/21,100,Jennifer Harris,jharris@dreamhomesnyc.com,(212) 555-0121,3,,,,,,,,,,,,,,,,4675,Direct Marketing,Print Advertising,"Disclosure, Title Report, Contract, Appraisal",,,Maria Rodriguez | Professor | Budget 0.5M-0.7M | Relocating for work,Nancy Brown | Corporate Owner | Upgrading to larger home | Owned 11 years,Maria Rodriguez: mrodriguez@yahoo.com | (406) 555-5060,11/28/24 - Initial showing - With advisor - Loved the space | 12/2/24 - Second visit - With advisor - Ready to offer | 2024/12/9 - Third viewing - With family - Very interested,11/22/2024 | 12/1/24,Interested | Very interested,Buyers are pre-approved and motivated,Estate sale proceeding smoothly,Parking space transfers with unit
TXN-2025-018,MLS8483697,999 Post Rd Stamford CT 06864,Dream Homes CT,1200 Post Rd Fairfield CT 06824,(203) 555-0500,TH,ACTIVE,sale,618468,2BR/2BA,1876,"elevator, storage",2024/12/17,74,Helen Anderson,handerson@dreamhomesnyc.com,(203) 555-0120,3,,,,,,,,,,,,,,,,8374,Website,Social Media Campaign,"Title Report, Disclosure, Appraisal, Contract, Inspection",,,James Thomas | Professor | Budget 0.5M-0.7M | Growing family,Patricia Martin | Corporate Owner | Upgrading to larger home | Owned 12 years,James Thomas: jthomas@hotmail.com | (326) 555-5926,Dec 23 2024 - Initial showing - With family - Very interested | 12/27/24 - Second visit - With spouse - Had concerns | January 11 2025 - Third viewing - With advisor - Had concerns | January 23 2025 - Final walkthrough - Buyer alone - Loved the space,Dec 22 2024 | December 28 2024 | 1/16/2025,Interested | Very interested | Not interested,Client appreciates the quality renovations,Conventional financing already in place,Flexible closing date negotiated
TXN-2025-019,MLS8025874,241 Fifth Ave Unit 10A New York NY 10027,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,Co-op,PENDING,sale,3992632,2BR/3BA,1248,"renovated, concierge, doorman",11/5/2024,34,Daniel Harris,dharris@dreamhomesnyc.com,(212) 555-0162,3,,,,November 19 2024,3887245,,2024/11/21,,,,,,,,,12122,Social Media,Email Campaign,"Contract, Financial statements, Inspection, Co-op board package, Survey",Dec 15 2024,4011708,David Wilson | Real Estate Investor | Budget 3.4M-4.6M | Growing family,Patricia Rodriguez | Estate | Estate liquidation | Owned 2 years,David Wilson: dwilson@yahoo.com | (551) 555-4876,11/15/2024 - Initial showing - Buyer alone - Loved the space | 2024/11/19 - Second visit - Buyer alone - Ready to offer | Nov 25 2024 - Third viewing - With family - Ready to offer,Nov 6 2024 | Nov 25 2024,Interested | Very interested,Client appreciates the quality renovations,Corporate relocation timeline tight,Inspection contingency waived
TXN-2025-020,MLS8316323,835 Park Ave Unit 26B New York NY 10118,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,TH,SOLD,sale,3201172,Studio/2BA,422,"gym, laundry, views, terrace",Nov 2 2024,67,Helen White,hwhite@dreamhomesnyc.com,(212) 555-0167,3,Susan Harris,sharris@luxuryrealty.com,(212) 555-7206,Dec 6 2024,3053982,3053982,Dec 13 2024,2002/1/25,170818,"Listing: 85409, Selling: 85409",PAID,,,,,1127,Open House,Online Marketing,"Inspection, Appraisal, Disclosure",December 6 2024,3217404,Susan Kim | Corporate Executive | Budget 2.7M-3.7M | Downsizing,Karen Taylor | Real Estate Investor | Portfolio adjustment | Owned 2 years,Susan Kim: skim@yahoo.com | (896) 555-1814,November 9 2024 - Initial showing - With spouse - Loved the space | 2024/11/15 - Second visit - Buyer alone - Ready to offer | 11/29/2024 - Third viewing - With family - Loved the space | Dec 8 2024 - Final walkthrough - With advisor - Very interested,November 7 2024 | Nov 21 2024 | 12/1/2024 | 2024/11/30,Interested | Very interested | Not interested,Great chemistry between buyer and seller,Estate sale proceeding smoothly,Subject to board approval
TXN-2025-021,MLS8058697,841 East 86th St Unit 28D New York NY 10097,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,SFH,ACTIVE,sale,2068511,Studio/1BA,604,"storage, gym, laundry",12/13/2024,78,William Garcia,wgarcia@dreamhomesnyc.com,(212) 555-0174,3,,,,,,,,,,,,,,,,6113,Website,Email Campaign,"Contract, Survey, Title Report, Disclosure",,,James Miller | Real Estate Investor | Budget 1.8M-2.4M | Investment property,Anthony Thompson | Homeowner | Relocating for work | Owned 4 years,James Miller: jmiller@hotmail.com | (271) 555-8031,12/18/24 - Initial showing - With spouse - Very interested | 2024/12/26 - Second visit - With advisor - Had concerns,12/21/24 | 2025/1/1 | Jan 8 2025 | Jan 4 2025 | Jan 20 2025,Interested | Very interested | Not interested,Smooth transaction expected,Estate sale proceeding smoothly,Cash purchase no contingencies
TXN-2025-022,MLS8353052,256 Post Rd Stamford CT 06902,Dream Homes CT,1200 Post Rd Fairfield CT 06824,(203) 555-0500,TH,SOLD,sale,368176,4BR/1BA,1986,"renovated, doorman",12/22/24,70,David Harris,dharris@dreamhomesnyc.com,(203) 555-0146,3,Karen Brown,kbrown@luxuryrealty.com,(203) 555-7486,1/14/25,354129,354129,1/21/25,Mar 10 2025,19500,Listing 9750 Selling 9750,Pending,,,,,8821,Open House,Print Advertising,"Inspection, Appraisal, Title Report, Survey, Contract",1/28/2025,378783,Robert Rodriguez | Artist | Budget 0.3M-0.4M | Growing family,Lisa Anderson | Homeowner | Portfolio adjustment | Owned 12 years,Robert Rodriguez: rrodriguez@gmail.com | (537) 555-8465,Dec 30 2024 - Initial showing - Buyer alone - Had concerns | January 9 2025 - Second visit - Buyer alone - Loved the space,Dec 29 2024 | Jan 9 2025 | 1/19/2025 | 2025/1/16,Interested | Very interested | Not interested,Family excited about the neighborhood,Conventional financing already in place,Parking space transfers with unit
TXN-2025-023,MLS8379831,67 Broadway Unit 14C New York NY 10030,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,Co-op,ACTIVE,sale,2020433,1BR/3BA,2004,"gym, elevator, doorman, renovated",12/7/2024,84,Nancy Martinez,nmartinez@dreamhomesnyc.com,(212) 555-0124,3,,,,,,,,,,,,,,,,2185,Direct Marketing,Direct Mail,"Title Report, Co-op board package, Appraisal, Financial statements, Survey",,,Patricia White | Attorney | Budget 1.7M-2.3M | Growing family,Mark Anderson | Developer | Downsizing | Owned 7 years,Patricia White: pwhite@gmail.com | (358) 555-8753,December 15 2024 - Initial showing - Buyer alone - Very interested | Dec 20 2024 - Second visit - With spouse - Loved the space,2024/12/12 | Dec 25 2024 | 12/24/24,Interested | Very interested | Not interested,Perfect match for their requirements,Board approval process initiated,Parking space transfers with unit
TXN-2025-024,MLS8239314,914 East 86th St Unit 20D New York NY 10032,Dream Homes Manhattan,120 Broadway Suite 2701 New York NY 10271,(212) 555-0100,Condo,SOLD,sale,4946709,1BR/3BA,811,"concierge, elevator, doorman, renovated",12/18/2024,90,James Williams,jwilliams@dreamhomesnyc.com,(212) 555-0142,2.5,,,,January 16 2025,4654371,4654371,2025/1/23,Mar 2 2025,264673,Listing agent only 264673,Pending,,,,,13967,Open House,Print Advertising,"Contract, Disclosure, Survey",2025/1/19,5129282,Mark Davis | Tech Entrepreneur | Budget 4.2M-5.7M | First NYC purchase,Sarah Harris | Developer | Estate liquidation | Owned 8 years,Mark Davis: mdavis@outlook.com | (411) 555-7492,12/27/24 - Initial showing - With family - Very interested | 12/31/2024 - Second visit - With family - Very interested,12/26/2024 | 1/5/25 | 2025/1/5 | 1/9/2025 | 2/1/25,Interested | Very interested | Not interested,Family excited about the neighborhood,Board approval process initiated,Parking space transfers with unit
TXN-2025-025,MLS8320229,803 Bedford Ave Brooklyn NY 11205,Dream Homes Brooklyn,345 Court St Brooklyn NY 11231,(718) 555-0400,Co-op,ACTIVE,sale,1427080,3BR/2.5BA,2396,"gym, terrace",December 26 2024,65,Karen Davis,kdavis@dreamhomesnyc.com,(718) 555-0128,2.5,,,,,,,,,,,,,,,,14946,Website,Direct Mail,"Co-op board package, Appraisal, Contract, Survey, Inspection",,,Matthew Kim | Professor | Budget 1.2M-1.6M | Relocating for work,James Garcia | Corporate Owner | Downsizing | Owned 14 years,Matthew Kim: mkim@yahoo.com | (597) 555-1894,Jan 2 2025 - Initial showing - With family - Had concerns | Jan 11 2025 - Second visit - With family - Had concerns,2024/12/29 | 2025/1/6 | 2025/1/18 | January 31 2025,Interested | Very interested | Not interested,Family excited about the neighborhood,Estate sale proceeding smoothly,Seller rent-back arrangement
TXN-2025-026,MLS8847954,813 Monroe St Newark NJ 07192,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,Co-op,ACTIVE,sale,461402,3BR/2BA,1224,"gym, renovated",11/22/24,99,Jennifer Thompson,jthompson@dreamhomesnyc.com,(201) 555-0123,3,,,,,,,,,,,,,,,,3180,Referral,Email Campaign,"Title Report, Appraisal, Inspection, Disclosure",,,Karen Brown | Physician | Budget 0.4M-0.5M | Growing family,Christopher Wilson | Homeowner | Relocating for work | Owned 4 years,Karen Brown: kbrown@hotmail.com | (853) 555-1834,Nov 28 2024 - Initial showing - With advisor - Very interested | 2024/12/3 - Second visit - Buyer alone - Very interested | 2024/12/7 - Third viewing - With spouse - Ready to offer,11/28/2024 | 12/7/24,Interested | Very interested,Investor sees great potential,Conventional financing already in place,As-is purchase agreed
TXN-2025-027,MLS8657500,571 Washington St Edgewater NJ 07254,Dream Homes NJ,890 Bergen Ave Jersey City NJ 07306,(201) 555-0300,Co-op,SOLD,sale,514824,3BR/3BA,1664,"gym, parking",November 21 2024,5,William Anderson,wanderson@dreamhomesnyc.com,(201) 555-0133,2.5,Michael Harris,mharris@luxuryrealty.com,(201) 555-9470,11/20/24,503133,503133,November 21 2024,12/25/24,28344,Listing 50% Selling 50% of 28344,PAID,,,,,13986,Social Media,Online Marketing,"Disclosure, Financial statements, Title Report, Inspection, Co-op board package",12/21/24,509583,Patricia Miller | Real Estate Investor | Budget 0.4M-0.6M | Relocating for work,Robert Chen | Corporate Owner | Estate liquidation | Owned 13 years,Patricia Miller: pmiller@yahoo.com | (841) 555-3099,Dec 1 2024 - Initial showing - With advisor - Had concerns | 12/3/2024 - Second visit - With spouse - Ready to offer | December 9 2024 - Third viewing - With family - Had concerns | 12/13/24 - Final walkthrough - With family - Had concerns,11/28/24 | 12/6/24 | Dec 13 2024,Interested | Very interested | Not interested,Smooth transaction expected,Board approval process initiated,Cash purchase no contingencies
